"trade_date","split","date_ordinal","date_count","train_fraction","validation_fraction","holdout_fraction","optimizer_usage","calendar_source"
"2024-01-02","train","1","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-03","train","2","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-04","train","3","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-05","train","4","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-08","train","5","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-09","train","6","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-10","train","7","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-11","train","8","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-12","train","9","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-15","train","10","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-16","train","11","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-17","train","12","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-18","train","13","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-19","train","14","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-22","train","15","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-23","train","16","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-24","train","17","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-25","train","18","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-26","train","19","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-29","train","20","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-30","train","21","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-01-31","train","22","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-01","train","23","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-02","train","24","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-05","train","25","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-06","train","26","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-07","train","27","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-08","train","28","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-19","train","29","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-20","train","30","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-21","train","31","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-22","train","32","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-23","train","33","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-26","train","34","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-27","train","35","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-28","train","36","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-02-29","train","37","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-01","train","38","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-04","train","39","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-05","train","40","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-06","train","41","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-07","train","42","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-08","train","43","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-11","train","44","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-12","train","45","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-13","train","46","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-14","train","47","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-15","train","48","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-18","train","49","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-19","train","50","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-20","train","51","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-21","train","52","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-22","train","53","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-25","train","54","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-26","train","55","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-27","train","56","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-28","train","57","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-03-29","train","58","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-01","train","59","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-02","train","60","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-03","train","61","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-08","train","62","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-09","train","63","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-10","train","64","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-11","train","65","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-12","train","66","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-15","train","67","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-16","train","68","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
