candidate_id,control_candidate_id,pair_id,exact_identity,route_id,skeleton_id,policy_id,seed,source_family_signature,operator_path_hash,expression_depth,clock_namespace,signal_coverage_status,exact_behavior_identity,behavior_cluster_id,admission_rank,admission_policy,performance_accessed_for_admission
cn.comp.82bfa234d5281485d264,cn.comp.82bfa234d5281485d264.control,cn.pair.ac8868bfb26338836ef7223eeddc7913,9fa7cef99153ba906633f37f20e098328741518dfb66ef816b98210abf17b952,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.event_prior_condition,evolutionary_mutation,65537,canonical_fundamental_disclosure_timing_staleness,2596b4068642663871a161fa2e17c47f3bde8d1f957bcaee22dd476c8c431920,3,stock_session,qualified,acf34bdff24d8996521c906d,8728,1,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.8d387cb033496c4d1039,cn.comp.8d387cb033496c4d1039.control,cn.pair.ffb05ccb8c61ccdfe90e66030ac0639b,46102e0b7280438abf71cb5cf17ce3f128d17312a10ea72a6d69a4672adda96a,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.cross_family_interaction,stratified_typed_random,2718,canonical_fundamental_operating_efficiency|canonical_fundamental_profitability,378e12ce5680f174133cf570c22028a3dd0fd654734c39a86cc58c10a70ff9d6,3,stock_session,qualified,1ac3a07bc34dabef7cbe6a49,9002,2,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.8154550e516c9a7bdf28,cn.comp.8154550e516c9a7bdf28.control,cn.pair.c3f0612b551a0a77f43c0003db3109da,a8680683ed23fed88516b7c8d6d201972e38520ec59dc93e4e39cebfd566b519,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.transition_payload,evolutionary_mutation,31415,intraday_derived_state|raw_1min,3338a46ebcf6ea24e348a4f4bf3c8ecdef73c90e90e0257e06c5e46b7ef7f44d,4,active_bar,qualified,17228e85e0baa968ac289e59,2503,3,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.47e1f94159848f0cb7ad,cn.comp.47e1f94159848f0cb7ad.control,cn.pair.f3ff204d17742ff60c12f74a7dd8cd8c,567ae0f3b645a8e6f46c479703ab5509281b0b20811f7ab26044fb305e908996,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_imbalance_persistence,stratified_typed_random,2718,firstN|raw_1min,13d8b7e2ded2006a54a88b43a8841e2caef489b8347f6c33b00333f32dcc44cc,3,active_bar,qualified,98b8dc48e8ebb9cd6baa9254,1522,4,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.aea7cd00ea28a6d5f8b1,cn.comp.aea7cd00ea28a6d5f8b1.control,cn.pair.0f6c8cb83bd1e6927d55121397411e80,f16ced2709861b36ddeed905372fc9c42b80c230c492aacdc6197589761b5161,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.regime_persistence_gate,diversity_preserving_cem,31415,lagged_daily_context|raw_1min,0ed617ddc893e323e82259e82d30c3c78e80f7ac0f08e459ff77f30c40d54bba,4,active_bar,qualified,0dd8c24d322687552713979c,3378,5,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.e4feed6b6adda4388e0c,cn.comp.e4feed6b6adda4388e0c.control,cn.pair.043e2019fcb437656862dacfba25861b,15a52e4166343a933e87d1452fac432f4e9df844a2e8f48b246f9e14fca84e64,MINUTE_STATIC,cn.comp.v2.minute_static.cross_sectional_residual,evolutionary_mutation,1729,raw_1min,45beb533ffafd7df32f8c36a25b70f4f1004631b5c249f90d1263a62a8ae3a6e,2,active_bar,qualified,96409760eea8b32758a43986,3849,6,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.cb42b7d6cd38d87a79b1,cn.comp.cb42b7d6cd38d87a79b1.control,cn.pair.9521a69f15395ae583f4bfad3c4ec7f6,7f58edee3309a11d7ddb5cd640b967af212ddda1fe8f4a50ffb1604ed31cece5,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.change_persistence,stratified_typed_random,1729,canonical_fundamental_capital_investment,d2c5e111398d452ac02b9d8a047919f7155d92593cc27d2eaa8176e7588abd90,3,stock_session,qualified,09426ca91ec492c5573f6e80,10655,7,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.cc1030c1f0174dc04d81,cn.comp.cc1030c1f0174dc04d81.control,cn.pair.6590b1277ff061f80c02503c15247813,d692016e07c0d0ee562a9bd9c060c3c9a6efb7454c1b0803710baf82d0aff2bc,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.event_first_hit,uct_ucb_structural_search,2718,canonical_fundamental_disclosure_timing_staleness,e5b4aa589558ca08ddf2168548875225cfec5d0311aa54c997402df7e28fae1a,1,stock_session,qualified,315cb981f894bd4ee41a026d,10678,8,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.44a86874026e0dbb2536,cn.comp.44a86874026e0dbb2536.control,cn.pair.f58cde86f4fb0a2fc576e837a5e6ad6a,891a417aa4190f61d783a9b9e8bbbbbe5b3c9da56fbab4553d81e08f02327acd,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.cross_family_interaction,diversity_preserving_cem,65537,canonical_fundamental_liquidity_solvency|lagged_daily_context,378e12ce5680f174133cf570c22028a3dd0fd654734c39a86cc58c10a70ff9d6,3,stock_session,qualified,42cfb69120d7eb8b0081b781,6910,9,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.79e28064bee02360ff46,cn.comp.79e28064bee02360ff46.control,cn.pair.bdc40c8257d8b9276e1d916d6e567dc2,fcab5563f731a2c5edb427f39db851bf3e6192ac9bc6d144699b7b5a23d5c4e5,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.duration_payload,stratified_typed_random,65537,intraday_derived_state|raw_1min,3c168bc673182775144c4a60efaa4349c38b2cf20b1edf32e0d2afe434e5a019,4,active_bar,qualified,60a5d66c759dc6a34d7069bd,1798,10,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
