candidate_id,clock_namespace,signal_coverage_status,finite_count_a,finite_count_b,exact_behavior_identity,cluster_a,cluster_b,clock_cluster_id,behavior_cluster_id
cn.comp.0005b788298c74987f0e,active_bar,qualified,1680,1742,2a4eb2d4f5ba2ee87aa897db,1,1,1,1
cn.comp.000b03299349af71c9b6,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.000d7f21caca841828cc,active_bar,qualified,1744,1742,828ccaa0a8e000d4a354b6d7,2,2,2,2
cn.comp.000f6afbf3c7156cd751,active_bar,qualified,1568,1614,cd2d33dc697db044b7d164c3,3,3,3,3
cn.comp.00161bfd463990d7f6f8,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.001f11ed63fda7eff2f5,active_bar,qualified,1744,1742,72ba406c5ff4533901564a93,4,4,4,4
cn.comp.0025f568d532689ff3b9,active_bar,qualified,1712,1742,fb128a1aff02cd0316fb2661,5,5,5,5
cn.comp.00265ddd883823d8ee5a,active_bar,qualified,1680,1742,7c1935cff1c95d29429c3e0e,6,6,6,6
cn.comp.00390bd0d683a85fc95b,active_bar,qualified,1162,1178,16c34f7392d284dcb193e6a9,7,7,7,7
cn.comp.003ecaf2423d9daaf002,active_bar,coverage_limited,0,780,,0,0,0,0
cn.comp.004beeac754c1d957b5e,active_bar,qualified,1625,1631,89a707d269242e730d046a6a,8,8,8,8
cn.comp.004d92e1acb484600e52,active_bar,qualified,1744,1742,2c0c92d41b8183b151e94a7f,9,9,9,9
cn.comp.004f18b07f3acdd79a41,active_bar,qualified,1260,1678,aab010ecd7daf4b151523fc3,10,10,10,10
cn.comp.006c44d4ce68e26c8b5a,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.0078ffdf6ff7942322c1,active_bar,qualified,1276,1742,f8a1fea229ce71ceb275b2fe,11,11,11,11
cn.comp.00799793b7537f456e62,active_bar,qualified,1712,1742,0515fe842903d0c8ad533a6f,5,5,5,5
cn.comp.008067510f2c70180937,active_bar,qualified,1308,1306,594707a9857bc37fa4dc99d0,12,12,12,12
cn.comp.008283c6a2fccb93edb2,active_bar,qualified,1672,1671,9c60a6b89dab5b1ae002a109,13,13,13,13
cn.comp.008822b04f162f01856a,active_bar,qualified,1744,1742,7c3b5b497608abfbd715c95c,14,14,14,14
cn.comp.009496e141f1580b0542,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.009dc07077908aa59fcb,active_bar,qualified,1260,1258,e4faf967b7a282066368b005,16,16,16,16
cn.comp.00a0f05c8c40920e7982,active_bar,qualified,1308,1742,b58764f73e57522eadf78db1,17,17,17,17
cn.comp.00a18de6b87e47262963,active_bar,qualified,1308,1306,92e22c54a21404d3c597f10d,18,18,18,18
cn.comp.00aa751b1c4921f91d1a,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.00b5f93fd6b8871158bf,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.00bbded63fbf32252135,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.00c0198dbac22f78e3a2,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.00ceb862796bbc373d65,active_bar,qualified,1648,1678,001a0f5387381098bfb0d9ec,19,19,19,19
cn.comp.00d0e60b2198e5bb7862,active_bar,qualified,1712,1742,c6057a37a6c6f85492f6477e,20,20,20,20
cn.comp.00d22d8b88e2d21a316d,active_bar,qualified,1744,1742,0026cdbd16fca570914c9cea,21,21,21,21
cn.comp.00d87d7e9215211d6347,active_bar,qualified,1308,1306,c17196733518399de0d2c5b3,22,22,22,22
cn.comp.00de15deb3d788e519af,active_bar,qualified,1180,1210,a99e3f25f5f71d3ff11aaecc,23,23,23,23
cn.comp.00e0938f397857d7a0c8,active_bar,qualified,1744,1742,d4e02b549af8a7f8aee8c85c,24,24,24,24
cn.comp.00e149c498f96e298a2e,active_bar,qualified,1744,1742,12921b525c2f5d0f7e895829,25,25,25,25
cn.comp.00e969d609c9e4825b92,active_bar,qualified,1712,1742,f13cb8df7e48adb307e60f2f,25,25,25,25
cn.comp.00ef7a2b1fb9c67f75b2,active_bar,qualified,1664,1678,3614f7bbdd0edc63748c1121,26,26,26,26
cn.comp.00f889d5c4a1590ff08c,active_bar,qualified,1352,1278,703c19214ca4a40e786caadb,27,27,27,27
cn.comp.00fc0d13659cadaaa343,active_bar,qualified,1648,1678,d7e688c2ced04b0f38f6533d,28,28,28,28
cn.comp.00fee05c0d3b1956c5b2,active_bar,qualified,1520,1565,6e5d056e25c55247f2d2e0ec,29,29,29,29
cn.comp.00ff40017d7db3e20789,active_bar,qualified,1744,1742,92541e15ebf916c673e04166,30,30,30,30
cn.comp.010176cebda604991de2,active_bar,qualified,1744,1742,b79046cb0bba329a921d214b,31,31,31,31
cn.comp.010fa3b20be97bf6d0e6,active_bar,qualified,1260,1306,0c5d47f986b1563fae3aa1fa,32,32,32,32
cn.comp.0111bf97f32b15519e5c,active_bar,qualified,663,710,3e4034863bd4489c91515991,33,33,33,33
cn.comp.0115b0753f27e73ed110,active_bar,coverage_limited,0,0,,0,0,0,0
