field,field_lane
amount,direct_formula
amount_yuan,direct_formula
close,direct_formula
code,blocked_key_or_label
ctx_sent_damian_num,lagged_context
ctx_sent_ditian_num,lagged_context
ctx_sent_down_num,lagged_context
ctx_sent_downlimit_num,lagged_context
ctx_sent_gt5_num,lagged_context
ctx_sent_lb_2_num,lagged_context
ctx_sent_lb_3_num,lagged_context
ctx_sent_lb_h_num,lagged_context
ctx_sent_lt5_num,lagged_context
ctx_sent_max_lb_num,lagged_context
ctx_sent_mian_num,lagged_context
ctx_sent_tiandi_num,lagged_context
ctx_sent_up_num,lagged_context
ctx_sent_uplimit_num,lagged_context
ctx_sent_zb_num,lagged_context
ctx_ths_hot_circulation_value,lagged_context
ctx_ths_hot_last_pct,lagged_context
ctx_ths_hot_last_price,lagged_context
ctx_ths_hot_rank,lagged_context
ctx_ths_hot_rank_diff,lagged_context
ctx_zls_df_num,lagged_context
ctx_zls_lbgd,lagged_context
ctx_zls_strong,lagged_context
ctx_zls_ztjs,lagged_context
dataset_route_id,blocked_key_or_label
date,blocked_key_or_label
evt_uplimit_active,event_state
evt_uplimit_age_min,event_state
evt_uplimit_amount,event_state
evt_uplimit_auction_buy,event_state
evt_uplimit_auction_money,event_state
evt_uplimit_auction_offer,event_state
evt_uplimit_auction_pre1max_ratio,event_state
evt_uplimit_auction_turnover,event_state
evt_uplimit_cutoff_minute,blocked_key_or_label
evt_uplimit_fd_close,event_state
evt_uplimit_fd_max,event_state
evt_uplimit_type_code,event_state
evt_uplimit_up_limit_keep_times,event_state
exec_date,blocked_key_or_label
high,direct_formula
intraday_ret_from_open,direct_formula
label_horizon,blocked_key_or_label
low,direct_formula
m1_first15_amount,direct_formula
m1_first15_bars,blocked_key_or_label
m1_first15_high,direct_formula
m1_first15_last_close,direct_formula
m1_first15_last_return_vs_open,direct_formula
m1_first15_low,direct_formula
m1_first15_range,direct_formula
m1_first15_vol,direct_formula
m1_first15_vwap,direct_formula
m1_first15_vwap_return_vs_open,direct_formula
m1_first30_amount,direct_formula
m1_first30_bars,blocked_key_or_label
m1_first30_high,direct_formula
m1_first30_last_close,direct_formula
m1_first30_last_return_vs_open,direct_formula
m1_first30_low,direct_formula
m1_first30_range,direct_formula
m1_first30_vol,direct_formula
m1_first30_vwap,direct_formula
m1_first30_vwap_return_vs_open,direct_formula
m1_first5_amount,direct_formula
m1_first5_bars,blocked_key_or_label
m1_first5_high,direct_formula
m1_first5_last_close,direct_formula
m1_first5_last_return_vs_open,direct_formula
m1_first5_low,direct_formula
m1_first5_range,direct_formula
m1_first5_vol,direct_formula
m1_first5_vwap,direct_formula
m1_first5_vwap_return_vs_open,direct_formula
open,direct_formula
pct_chg,direct_formula
ret_1m,direct_formula
signal_time,blocked_key_or_label
trade_time,blocked_key_or_label
vol,direct_formula
volume,direct_formula
vwap,direct_formula
