candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,fresh_search_intent,x0_r3_role,note
phase3bn_open_diversified_00001,2cedc70bf2c7e8fb6e6b4d85,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",2,phase3bn:2cedc70bf2c7e8fb6e6b4d85,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00002,3e5fa2a3bbbb475b094bb083,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,2)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",2,phase3bn:3e5fa2a3bbbb475b094bb083,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00003,f360b4ed49b04e59022a973c,"CSRank(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))",opening_directional_return,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_last_close|open,"['m1_first5_last_close', 'open']",0,phase3bn:f360b4ed49b04e59022a973c,true,read_only_research_candidate,opening-window directional move from open
phase3bn_open_diversified_00004,67d707bef48e171f3572984d,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,2))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",2,phase3bn:67d707bef48e171f3572984d,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00005,e5a95d446f75167f8daffa48,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",3,phase3bn:e5a95d446f75167f8daffa48,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00006,a07cfa21db12f8efdbf26a38,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,3)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",3,phase3bn:a07cfa21db12f8efdbf26a38,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00007,00228735d68cd091d505bd81,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,3))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",3,phase3bn:00228735d68cd091d505bd81,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00008,f1b0c7d2d519bebc6556cba1,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",5,phase3bn:f1b0c7d2d519bebc6556cba1,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00009,0766c65699fc6a45c03d2d64,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,5)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",5,phase3bn:0766c65699fc6a45c03d2d64,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00010,b9b9a75300a7c8e2c2b0a68d,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,5))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",5,phase3bn:b9b9a75300a7c8e2c2b0a68d,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
