primitive,status,assumption_class,implicit_assumption,highest_risk_field_categories,failure_mode,default_action
CSRank/Rank,existing,cross_section_geometry,same timestamp cross-section has enough comparable numeric values and non-degenerate ordering,sparse_event|discrete_state|coverage_sensitive|key_or_membership,"ranks availability, event sparsity, or group membership instead of signal strength",allow_continuous_only; typed_event_or_state_required_for_sparse_inputs
ZScore,existing,cross_section_scale,"cross-section variance is meaningful and not mostly zero, missing, or discrete",sparse_event|discrete_state|coverage_sensitive,turns rare events or coverage masks into extreme standardized values,allow_continuous_only; use MaskedZScore or state/event primitives otherwise
Mean/Std/WMA/Med/Kurt/Skew,existing,time_continuity,per-code series is regularly sampled and semantically continuous,sparse_event|daily_context|pit_fundamental|disclosure_event,rolling window measures update cadence or stale step functions rather than economics,allow_continuous_minute; typed window count/state dwell for events and states
Delta/Delay,existing,time_ordering,lagged observations are comparable and field availability is not the signal,sparse_event|daily_context|pit_fundamental|timestamped_event,"captures publication/update timing, event absence, or stale context jumps","use explicit LaggedContext, EventTransition, StateTransition, or SinceLastEvent"
Mom,existing,ratio_scale,"lagged denominator is non-zero, continuous, and ratio-comparable",sparse_event|discrete_state|fundamental_step|coverage_sensitive,explodes around zeros or turns step changes into false momentum,block for sparse/discrete/context fields; use delta or bounded ratio pack only after scale audit
Corr/Cov,existing,window_joint_variation,rolling window has enough joint valid continuous variation,sparse_event|limit_state|coverage_sensitive|daily_context,"measures availability, limit-lock trading freeze, or coverage mask co-movement",require ValidRatioGate and MaskedCorr; otherwise block
CSResidual,existing,cross_section_linear_model,regressor and target are continuous with stable cross-sectional variance,membership|sector|coverage_sensitive|sparse_event|discrete_state,"residualizes group membership, universe masks, or availability rather than risk exposure",allow only audited continuous controls; use SafeCSResidual with coverage and category bans
Div,existing,numeric_safety_vs_semantic_safety,denominator is meaningful ratio scale; zero guard only handles arithmetic safety,sparse_event|discrete_state|coverage_sensitive,creates extreme buckets from sparse denominators despite eps guard,require denominator family audit; block sparse/discrete denominator fields
Log,existing,positive_magnitude,magnitude is meaningful on log scale,binary_state|event_flag|signed_return|timestamp,collapses binary flags or hides sign semantics,allow positive continuous magnitudes only
Sign,existing,directional_semantics,sign encodes meaningful up/down direction,event_count|state_flag|coverage_sensitive,"turns presence, absence, or update timing into artificial direction",allow on returns/deltas; prefer EventTransition or StateTransition for events
Mul/Add/Sub,existing,composition_geometry,inputs share compatible scale or were normalized with valid geometry,mixed_event_continuous|coverage_sensitive,multiplies degenerate zscores or availability masks into apparently fresh signals,require input route compatibility and source attribution
EventAge/SinceLastEvent/EventCount,proposed_typed,event_state_semantics,event field is a timestamped or lagged sparse occurrence indicator,sparse_event|timestamped_event|limit_event,not applicable; designed to replace direct Mean/Delta/Mom on event fields,preferred for limit/open-board/high-board/uplimit fields
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,discrete_state_semantics,state has finite labels or binary flags and should be treated as dwell/transition,discrete_state|limit_state|st_state|board_state,not applicable; designed to replace direct ZScore/Mom on states,"preferred for is_limit_up, is_st, streak_ge, board state, hotness buckets"
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,coverage_sensitive_semantics,coverage and joint valid sample size are first-class constraints,coverage_sensitive|pit_fundamental|rzrq|billboard|holder,not applicable; designed to prevent availability-mask reward hacking,mandatory before Corr/Cov/ZScore/CSResidual on coverage-sensitive fields
